Client,Practice Area,Matter Number,Matter Description,Responsible Attorney,Originating Attorney,Billable,Latest Bill,Attorney Name,Role,Practice Group ,Practice Description,Summary ,Area of Expertise,Education,Contact
"Kiavi, Inc (Previously LendingHome)",,00026-LendingHome Corp.-General corporate advice and counsel.,General corporate advice and counsel.,Adam Forest,Adam Forest,Yes,8/3/20,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",,00037-LendingHome Corp.-Shields guaranty enforcement action.,Shields guaranty enforcement action.,,,Yes,8/6/18,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",,00050-LendingHome Corp.-70 Clermont PG Action,70 Clermont PG Action,Adam Forest,Adam Forest,Yes,11/5/19,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",Fintech & Financial Services,"00055-Kiavi, Inc (Previously LendingHome)-Mantooth PG Action (Randol Mill)",Mantooth PG Action (Randol Mill),Adam Forest,Adam Forest,Yes,2/5/24,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",,00065-LendingHome Corp.-Chris Martin lawsuit,Chris Martin lawsuit,Adam Forest,Adam Forest,Yes,11/2/18,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",,00067-LendingHome Corp.-Ericsson guaranty enforcement.,Ericsson guaranty enforcement.,,,Yes,12/4/18,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",,00102-LendingHome Corp.-Capital markets consulting,Capital markets consulting,,,Yes,1/6/20,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",,"00601-Kiavi, Inc (Previously LendingHome)-General corporate, securities and transactional matters","General corporate, securities and transactional matters",Jeff Lord,Jeff Lord,Yes,1/4/24,,,,,,,,
"Kiavi, Inc (Previously LendingHome)",,"00717-Kiavi, Inc (Previously LendingHome)-Future Generations LLC / 1230 Providence Road",Future Generations LLC / 1230 Providence Road,David Reidy,David Reidy,Yes,4/5/22,,,,,,,,
Golden Gate University,,00004-Golden Gate University-LWR Program,LWR Program,Adam Forest,Adam Forest,No,,,,,,,,,
Handshake,,00005-Handshake-General Corporate,General Corporate,Adam Forest,Adam Forest,Yes,12/5/22,,,,,,,,
Handshake,,00061-Handshake-Pre-litigation advice and counsel re Blaydes employment matter.,Pre-litigation advice and counsel re Blaydes employment matter.,Adam Forest,Jesse Payne-Johnson,Yes,11/2/18,,,,,,,,
Handshake,,00081-Handshake-Tulane University indemnification action.,Tulane University indemnification action.,Adam Forest,Adam Forest,Yes,1/6/20,,,,,,,,
Handshake,Corporate & Securities,00119-Handshake-Commercial contracts,Commercial contracts,Adam Forest,Adam Forest,Yes,3/6/24,,,,,,,,
Handshake,,00360-Handshake-Vendor agreements,Vendor agreements,Adam Forest,Adam Forest,Yes,5/7/24,,,,,,,,
Handshake,,00361-Handshake-Product counseling; litigation and dispute resolution,Product counseling; litigation and dispute resolution,,Adam Forest,Yes,2/5/24,,,,,,,,
Handshake,Corporate & Securities,00415-Handshake-Product counseling; dispute resolution; and other,Product counseling; dispute resolution; and other,Adam Forest,Adam Forest,Yes,6/5/24,,,,,,,,
Handshake,Corporate & Securities,03733-Handshake-Data Privacy,Data Privacy,Brian Elliott,Brian Elliott,Yes,7/8/24,,,,,,,,
"EcoCosm, Inc.",,"00006-EcoCosm, Inc.-Corporate governance and
shareholder agreement
documentation","Corporate governance and
shareholder agreement
documentation",Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,3/8/19,,,,,,,,
Kitty Hawk Corporation,,00007-Kitty Hawk Corporation-Corporate governance and commercial matters,Corporate governance and commercial matters,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,,,,,,,,,
"Elfster, Inc.",,"00008-Elfster, Inc.-HR matters",HR matters,Adam Forest,Adam Forest,Yes,7/6/20,,,,,,,,
"Elfster, Inc.",,"00111-Elfster, Inc.-GDPR",GDPR,Jessica Jacob,Adam Forest,Yes,1/6/20,,,,,,,,
"Elfster, Inc.",,"00187-Elfster, Inc.-Corporate general",Corporate general,Adam Forest,Adam Forest,Yes,1/4/23,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"00436-Elfster, Inc.-Trademark - US TM OURWISHES.COM",Trademark - US TM OURWISHES.COM,Alandis Brassel,Alandis Brassel,Yes,5/5/21,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"00445-Elfster, Inc.-Trademark - US TM OUR WISHES",Trademark - US TM OUR WISHES,Alandis Brassel,Alandis Brassel,Yes,3/2/22,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"00543-Elfster, Inc.-Trademark - CA TM OUR WISHES",Trademark - CA TM OUR WISHES,Alandis Brassel,Alandis Brassel,Yes,6/2/21,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"00544-Elfster, Inc.-Trademark - UK TM OUR WISHES",Trademark - UK TM OUR WISHES,Alandis Brassel,Alandis Brassel,Yes,4/28/22,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"00545-Elfster, Inc.-Trademark - CA TM ELFSTER",Trademark - CA TM ELFSTER,Alandis Brassel,Alandis Brassel,Yes,5/5/21,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"00546-Elfster, Inc.-Trademark - UK TM ELFSTER",Trademark - UK TM ELFSTER,Alandis Brassel,Alandis Brassel,Yes,12/2/21,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"00702-Elfster, Inc.-Trademark - US TM ELFTSTER",Trademark - US TM ELFTSTER,Alandis Brassel,Alandis Brassel,Yes,3/2/22,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"00957-Elfster, Inc.-Trademark - US TM WISH OF THE WEEK",Trademark - US TM WISH OF THE WEEK,Alandis Brassel,Alandis Brassel,Yes,4/28/22,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"00958-Elfster, Inc.-Trademark - US TM WOW",Trademark - US TM WOW,Alandis Brassel,Alandis Brassel,Yes,11/3/21,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"01107-Elfster, Inc.-Trademark - US TM REGISTRY FOR ME",Trademark - US TM REGISTRY FOR ME,Alandis Brassel,Alandis Brassel,Yes,4/1/22,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"01234-Elfster, Inc.-Trademark - CA TM REGISTRY FOR ME",Trademark - CA TM REGISTRY FOR ME,Alandis Brassel,Alandis Brassel,Yes,4/1/22,,,,,,,,
"Elfster, Inc.",*No Practice Group Selected / Restricted Matter,"01235-Elfster, Inc.-Trademark - UK TM REGISTRY FOR ME",Trademark - UK TM REGISTRY FOR ME,Alandis Brassel,Alandis Brassel,Yes,4/1/22,,,,,,,,
"Elfster, Inc.",Trademark/Copyright,"01282-Elfster, Inc.-Trademark - EU TM WISH OF THE WEEK",Trademark - EU TM WISH OF THE WEEK,Alandis Brassel,Alandis Brassel,Yes,4/28/22,,,,,,,,
"Elfster, Inc.",Trademark/Copyright,"01283-Elfster, Inc.-Trademark - UK TM WISH OF THE WEEK",Trademark - UK TM WISH OF THE WEEK,Alandis Brassel,Alandis Brassel,Yes,4/28/22,,,,,,,,
"Elfster, Inc.",Trademark/Copyright,"01284-Elfster, Inc.-Trademark - EU TM WOW",Trademark - EU TM WOW,Greg Mayer,Greg Mayer,Yes,7/7/22,,,,,,,,
"Elfster, Inc.",Trademark/Copyright,"01285-Elfster, Inc.-Trademark - UK TM WOW",Trademark - UK TM WOW,Alandis Brassel,Alandis Brassel,Yes,4/28/22,,,,,,,,
"Elfster, Inc.",Litigation,"03781-Elfster, Inc.-Daoodi Claim",Daoodi Claim,Adam Forest,Adam Forest,Yes,12/5/23,,,,,,,,
"Elfster, Inc.",Corporate & Securities,"03782-Elfster, Inc.-Website Privacy Review",Website Privacy Review,Adam Forest,Adam Forest,Yes,12/5/23,,,,,,,,
Peter Imburg,,00211-Imburg-(DO NOT USE) OUR WISHES - Daniel Zlatnik Flat Fee Work,(DO NOT USE) OUR WISHES - Daniel Zlatnik Flat Fee Work,Lynne Boisineau,Adam Forest,Yes,3/2/21,,,,,,,,
RaiseMe,,00010-RaiseMe-General Corporate Matters,General Corporate Matters,Adam Forest,Adam Forest,Yes,8/7/20,,,,,,,,
RaiseMe,,00038-RaiseMe-Resolution of demand letter and outstanding invoices with Hartford University.,Resolution of demand letter and outstanding invoices with Hartford University.,Adam Forest,Adam Forest,Yes,8/6/18,,,,,,,,
41541 LLC,,"00011-41541 LLC-Drafting and negotiation of commercial contract with Holospex, Inc.","Drafting and negotiation of commercial contract with Holospex, Inc.",Jesse Payne-Johnson,Adam Forest,Yes,1/3/18,,,,,,,,
Battery Street Advisors,,00012-Battery Street Advisors-Corporate Governance,Corporate Governance,Adam Forest,Adam Forest,Yes,2/5/18,,,,,,,,
Andrew Swain,,00013-Swain-General Corporate,General Corporate,Adam Forest,Adam Forest,Yes,4/3/24,,,,,,,,
Andrew Swain,,00049-Swain-Designed Capital Distribution,Designed Capital Distribution,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,10/5/18,,,,,,,,
Andrew Swain,,00057-Swain-Sundae Homes,Sundae Homes,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,4/2/20,,,,,,,,
Andrew Swain,,00093-Swain-Sundae - Polly representation re WW dispute,Sundae - Polly representation re WW dispute,,,Yes,7/6/20,,,,,,,,
FinVoice,,00014-FinVoice-Corporate & Regulatory Advisory,Corporate & Regulatory Advisory,Adam Forest,Adam Forest,Yes,5/4/22,,,,,,,,
FinVoice,,00068-FinVoice-FSW litigation,FSW litigation,,,Yes,12/3/19,,,,,,,,
FinVoice,,00170-FinVoice-Lease discussions re: SF office,Lease discussions re: SF office,Edmond Farrell,Adam Forest,Yes,8/3/20,,,,,,,,
FinVoice,,00831-FinVoice-Finvoice v. Domo,Finvoice v. Domo,Samer Korkor,Samer Korkor,Yes,12/2/21,,,,,,,,
FinVoice,Litigation,01468-FinVoice-WEX Inc. - Prelitigation Counseling & Representation in Litigation,WEX Inc. - Prelitigation Counseling & Representation in Litigation,Conrad Sison,Conrad Sison,Yes,6/30/22,,,,,,,,
Peer Health,,00016-Peer Health-InfoMC licensing deal,InfoMC licensing deal,Adam Forest,Adam Forest,Yes,11/1/18,,,,,,,,
OpStandard,,00017-OpStandard-Incorporation & Commercial Agreements,Incorporation & Commercial Agreements,Jesse Payne-Johnson,Adam Forest,Yes,2/5/18,,,,,,,,
"Point Digital Finance, Inc.",,00018-Point-Partnership Agreement Amendment,Partnership Agreement Amendment,Jesse Payne-Johnson,Adam Forest,Yes,3/6/19,,,,,,,,
"Point Digital Finance, Inc.",,00141-Point-Texas state expansion diligence memo,Texas state expansion diligence memo,Heather Cantua,Heather Cantua,Yes,6/1/20,,,,,,,,
"Point Digital Finance, Inc.",,00169-Point-Advise in-house counsel on sublease,Advise in-house counsel on sublease,Edmond Farrell,Adam Forest,Yes,7/6/20,,,,,,,,
"Point Digital Finance, Inc.",,00201-Point-Wisconsin state expansion due diligence,Wisconsin state expansion due diligence,Heather Cantua,Heather Cantua,Yes,10/5/20,,,,,,,,
"Point Digital Finance, Inc.",,00203-Point-Employment advice and counsel,Employment advice and counsel,Adam Forest,Adam Forest,Yes,,,,,,,,,
"Point Digital Finance, Inc.",,00205-Point-South Carolina due diligence,South Carolina due diligence,Heather Cantua,Heather Cantua,Yes,10/5/20,,,,,,,,
"Point Digital Finance, Inc.",,00208-Point-Missouri State Expansion Due Diligence,Missouri State Expansion Due Diligence,Heather Cantua,Heather Cantua,Yes,10/5/20,,,,,,,,
"Point Digital Finance, Inc.",,00634-Point-General advice and counsel,General advice and counsel,Heather Cantua,Heather Cantua,Yes,12/4/23,,,,,,,,
"Point Digital Finance, Inc.",,"01014-Point Digital Finance, Inc.-Chey, George and Elizabeth v. Point Digital Finance, Inc.","Chey, George and Elizabeth v. Point Digital Finance, Inc.",Alexander Gershen,Alexander Gershen,Yes,1/4/22,,,,,,,,
"Point Digital Finance, Inc.",,"01099-Point Digital Finance, Inc.-Matthews-General Corporate Advice",Matthews-General Corporate Advice,Johnny Chen,Johnny Chen,Yes,1/13/22,,,,,,,,
"Point Digital Finance, Inc.",,"01104-Point Digital Finance, Inc.-Kentucky State Expansion Due Diligence",Kentucky State Expansion Due Diligence,Heather Cantua,Heather Cantua,Yes,2/3/22,,,,,,,,
"Point Digital Finance, Inc.",,"01105-Point Digital Finance, Inc.-South Dakota State Expansion Due Diligence",South Dakota State Expansion Due Diligence,Heather Cantua,Heather Cantua,Yes,2/3/22,,,,,,,,
"Point Digital Finance, Inc.",,"01106-Point Digital Finance, Inc.-West Virginia State Expansion Due Diligence",West Virginia State Expansion Due Diligence,Heather Cantua,Heather Cantua,Yes,2/3/22,,,,,,,,
"Point Digital Finance, Inc.",Fintech & Financial Services,"01330-Point Digital Finance, Inc.-UCC Lien Review",UCC Lien Review,Alexander Gershen,Alexander Gershen,Yes,4/5/22,,,,,,,,
"Sounding Board Labs, Inc.",,"00019-Sounding Board Labs, Inc.-Corporate Contract Review & Drafting",Corporate Contract Review & Drafting,Heather Cantua,Adam Forest,Yes,6/5/24,,,,,,,,
"Sounding Board Labs, Inc.",,"00260-Sounding Board Labs, Inc.-General Corporate Work (incorporation documents and equity grants)",General Corporate Work (incorporation documents and equity grants),Johnny Chen,Adam Forest,Yes,6/2/21,,,,,,,,
"Sounding Board Labs, Inc.",*No Practice Group Selected / Restricted Matter,"00465-Sounding Board Labs, Inc.-Trademark - US TM SOUNDING BOARD (Cl. 9 and 42)",Trademark - US TM SOUNDING BOARD (Cl. 9 and 42),James Creedon,James Creedon,Yes,3/2/22,,,,,,,,
"Sounding Board Labs, Inc.",,"00477-Sounding Board Labs, Inc.-H-1B Application",H-1B Application,Adam Forest,Adam Forest,Yes,5/4/22,,,,,,,,
"Sounding Board Labs, Inc.",*No Practice Group Selected / Restricted Matter,"00480-Sounding Board Labs, Inc.-Trademark - US TM SOUNDING BOARD (Cl 35)",Trademark - US TM SOUNDING BOARD (Cl 35),James Creedon,Adam Forest,Yes,4/3/24,,,,,,,,
"Sounding Board Labs, Inc.",*No Practice Group Selected / Restricted Matter,"00735-Sounding Board Labs, Inc.-Trademark - US TM WE GROW COACHES WHO GROW LEADERS",Trademark - US TM WE GROW COACHES WHO GROW LEADERS,James Creedon,James Creedon,Yes,3/2/22,,,,,,,,
"Sounding Board Labs, Inc.",*No Practice Group Selected / Restricted Matter,"00975-Sounding Board Labs, Inc.-Trademark – EU TM SOUNDING BOARD",Trademark – EU TM SOUNDING BOARD,James Creedon,Adam Forest,Yes,1/11/23,,,,,,,,
"Sounding Board Labs, Inc.",*No Practice Group Selected / Restricted Matter,"00976-Sounding Board Labs, Inc.-UK TM SOUNDING BOARD",UK TM SOUNDING BOARD,James Creedon,Adam Forest,Yes,1/11/23,,,,,,,,
"Sounding Board Labs, Inc.",Trademark/Copyright,"02284-Sounding Board Labs, Inc.-EZRA TM CND Research and Response",EZRA TM CND Research and Response,Alandis Brassel,Adam Forest,Yes,,,,,,,,,
KeepTruckin,,00020-KeepTruckin-Interim GC advice and counsel,Interim GC advice and counsel,Adam Forest,Adam Forest,Yes,1/7/19,,,,,,,,
BearNBull Company,,00021-BearNBull Company-General Corporate,General Corporate,Jesse Payne-Johnson,Adam Forest,Yes,4/5/18,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",,"00023-TWENTYFIRSTCENTURYBRAND, LLC-General Corporate Matters",General Corporate Matters,Jesse Payne-Johnson,Adam Forest,Yes,7/7/22,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",*No Practice Group Selected / Restricted Matter,"00453-TWENTYFIRSTCENTURYBRAND, LLC-Trademark - US TM TWENTYFIRSTCENTURYBRAND",Trademark - US TM TWENTYFIRSTCENTURYBRAND,Alandis Brassel,Alandis Brassel,Yes,6/2/21,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",*No Practice Group Selected / Restricted Matter,"00602-TWENTYFIRSTCENTURYBRAND, LLC-Trademark - UK TM TWENTYFIRSTCENTURYBRAND",Trademark - UK TM TWENTYFIRSTCENTURYBRAND,Alandis Brassel,Alandis Brassel,Yes,12/2/21,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",*No Practice Group Selected / Restricted Matter,"00606-TWENTYFIRSTCENTURYBRAND, LLC-Trademark - EU TM TWENTYFIRSTCENTURYBRAND",Trademark - EU TM TWENTYFIRSTCENTURYBRAND,Alandis Brassel,Alandis Brassel,Yes,1/3/22,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",,"00607-TWENTYFIRSTCENTURYBRAND, LLC-Copyright - US CO The Business Case For Creating An Iconic Brand White Paper",Copyright - US CO The Business Case For Creating An Iconic Brand White Paper,Alandis Brassel,Alandis Brassel,Yes,8/3/21,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",,"00608-TWENTYFIRSTCENTURYBRAND, LLC-Copyright - US CO The Business Case For Building
An Inclusive, Iconic Brand-Whitepaper Master","Copyright - US CO The Business Case For Building
An Inclusive, Iconic Brand-Whitepaper Master",Alandis Brassel,Alandis Brassel,Yes,8/3/21,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",,"00609-TWENTYFIRSTCENTURYBRAND, LLC-Copyright - US CO Marketing Through Crisis",Copyright - US CO Marketing Through Crisis,Alandis Brassel,Alandis Brassel,Yes,8/3/21,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",,"00610-TWENTYFIRSTCENTURYBRAND, LLC-Copyright - The Business Case For Building An Inclusive, Iconic Brand White Paper-Executive Summary","Copyright - US CO The Business Case For Building An Inclusive, Iconic Brand White Paper-Executive Summary",Alandis Brassel,Alandis Brassel,Yes,8/3/21,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",*No Practice Group Selected / Restricted Matter,"00734-TWENTYFIRSTCENTURYBRAND, LLC-Trademark - US TM TWENTYFIRSTCENTURYBRAND (Cl. 16, 35, and 41)","Trademark - US TM TWENTYFIRSTCENTURYBRAND (Cl. 16, 35, and 41)",Alandis Brassel,Alandis Brassel,Yes,4/28/22,,,,,,,,
"TWENTYFIRSTCENTURYBRAND, LLC",,"00808-TWENTYFIRSTCENTURYBRAND, LLC-Profits Interest Grant",Profits Interest Grant,Annie Jeong,Annie Jeong,Yes,4/5/22,,,,,,,,
Lyon and Post Inc.,,00024-Lyon and Post Inc.-General Corporate,General Corporate,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,6/6/18,,,,,,,,
PeerIQ,,00025-PeerIQ-General Corporate / Commercial Transactions,General Corporate / Commercial Transactions,Jesse Payne-Johnson,Adam Forest,Yes,10/5/18,,,,,,,,
Yes Mo Beauty,,00027-Yes Mo Beauty-General Corporate Advisory,General Corporate Advisory,Jesse Payne-Johnson,Adam Forest,Yes,7/5/18,,,,,,,,
Berkeley Tennis Club,,00029-Berkeley Tennis Club-Basic advice and counsel,Basic advice and counsel,Adam Forest,Adam Forest,Yes,8/6/18,,,,,,,,
Feng Wang,,00030-Wang-Advice and counsel re SMB incorporation and launch.,Advice and counsel re SMB incorporation and launch.,,,Yes,11/2/18,,,,,,,,
Feng Wang,,00056-Wang-Section Capital Transaction,Section Capital Transaction,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,12/7/18,,,,,,,,
"Karmastyle, Inc.",,"00031-Karmastyle, Inc.-General Corporate Advisory - Incorporation Review and Related Matters",General Corporate Advisory - Incorporation Review and Related Matters,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,8/5/19,,,,,,,,
Project Aqua,,00032-Project Aqua-General Corporate Advisory,General Corporate Advisory,Jesse Payne-Johnson,Adam Forest,Yes,7/5/18,,,,,,,,
Eyebloc LLC,,00033-Eyebloc LLC-M&A Advisory,M&A Advisory,Adam Forest,Adam Forest,Yes,5/4/20,,,,,,,,
Performance Gaines,,00034-Performance Gaines-General Corporate,General Corporate,Adam Forest,Adam Forest,Yes,9/3/20,,,,,,,,
Sunup Inc.,,00035-Sunup Inc.-General Corporate,General Corporate,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,9/7/18,,,,,,,,
Zeni LLC,,00036-Zeni LLC-General Corporate,General Corporate,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,8/5/19,,,,,,,,
1Sharpe,,00039-1Sharpe-Originator Loan Doc Diligence,Originator Loan Doc Diligence,Adam Forest,Adam Forest,Yes,4/3/19,,,,,,,,
1Sharpe,,00041-1Sharpe-Rental loan document suite.,Rental loan document suite.,Adam Forest,Adam Forest,Yes,8/6/18,,,,,,,,
"Ostional Partners, LLC",,"00040-Ostional Partners, LLC-General Corporate Advisory",General Corporate Advisory,Jesse Payne-Johnson,Adam Forest,Yes,9/9/19,,,,,,,,
"Ostional Partners, LLC",,"00075-Ostional Partners, LLC-Fund formation",Fund formation,Adam Forest,Adam Forest,Yes,10/7/19,,,,,,,,
Togathr Media,*No Practice Group Selected / Restricted Matter,00042-Togathr Media-General Corporate Advisory,General Corporate Advisory,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,3/2/21,,,,,,,,
Hazel Bourget,*No Practice Group Selected / Restricted Matter,00043-Bourget-General Corporate Advisory,General Corporate Advisory,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,,,,,,,,,
BluBungalow,,00044-BluBungalow-General Corporate Advisory,General Corporate Advisory,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,8/6/18,,,,,,,,
Nasim Yalpani,,00045-Yalpani-Uber Equity Review,Uber Equity Review,Jesse Payne-Johnson,Adam Forest,Yes,7/6/20,,,,,,,,
"1debit, Inc. dba Chime",,"00052-1debit, Inc. dba Chime-HR Advice and Counsel",HR Advice and Counsel,Adam Forest,Adam Forest,Yes,4/2/20,,,,,,,,
"1debit, Inc. dba Chime",,"00064-1debit, Inc. dba Chime-AML/BSA Audit",AML/BSA Audit,Adam Forest,Adam Forest,Yes,1/7/20,,,,,,,,
Alicia Blum-Ross,,00046-Blum-Ross-Employment-related Advisory,Employment-related Advisory,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,9/7/18,,,,,,,,
"Blend Financial, Inc.",,"00047-Blend Financial, Inc.-General Corporate Advisory",General Corporate Advisory,Johnny Chen,Johnny Chen,Yes,5/3/22,,,,,,,,
"Blend Financial, Inc.",,"00096-Blend Financial, Inc.-Series Seed financing",Series Seed financing,Johnny Chen,Johnny Chen,Yes,1/8/20,,,,,,,,
"Blend Financial, Inc.",,"00101-Blend Financial, Inc.-Jersin litigation",Jersin litigation,Johnny Chen,Johnny Chen,Yes,1/8/20,,,,,,,,
